date,symbol,close
2024-02-23,XAUUSD,1902.2
2024-03-01,XAUUSD,1893.96
2024-03-08,XAUUSD,1842.07
2024-03-15,XAUUSD,1841.53
2024-03-22,XAUUSD,1890.69
2024-03-29,XAUUSD,1882.08
2024-04-05,XAUUSD,1859.22
2024-04-12,XAUUSD,1828.16
2024-04-19,XAUUSD,1801.56
2024-04-26,XAUUSD,1795.61
2024-05-03,XAUUSD,1765.99
2024-05-10,XAUUSD,1807.78
2024-05-17,XAUUSD,1802.28
2024-05-24,XAUUSD,1807.38
2024-05-31,XAUUSD,1848.54
2024-06-07,XAUUSD,1892.45
2024-06-14,XAUUSD,1888.68
2024-06-21,XAUUSD,1900.35
2024-06-28,XAUUSD,1923.58
2024-07-05,XAUUSD,1920.33
2024-07-12,XAUUSD,1871.41
2024-07-19,XAUUSD,1892.04
2024-07-26,XAUUSD,1919.69
2024-08-02,XAUUSD,1933.96
2024-08-09,XAUUSD,1909.49
2024-08-16,XAUUSD,1906.17
2024-08-23,XAUUSD,1891.56
2024-08-30,XAUUSD,1885.33
2024-09-06,XAUUSD,1924.27
2024-09-13,XAUUSD,1970.72
2024-09-20,XAUUSD,1992.88
2024-09-27,XAUUSD,2011.67
2024-10-04,XAUUSD,2034.5
2024-10-11,XAUUSD,2036.57
2024-10-18,XAUUSD,2036.7
2024-10-25,XAUUSD,2018.57
2024-11-01,XAUUSD,2019.3
2024-11-08,XAUUSD,2090.17
2024-11-15,XAUUSD,2119.93
2024-11-22,XAUUSD,2111.59
2024-11-29,XAUUSD,2099.18
2024-12-06,XAUUSD,2074.48
2024-12-13,XAUUSD,2088.62
2024-12-20,XAUUSD,2103.39
2024-12-27,XAUUSD,2060.38
2025-01-03,XAUUSD,2077.89
2025-01-10,XAUUSD,2062.63
2025-01-17,XAUUSD,2109.25
2025-01-24,XAUUSD,2116.74
2025-01-31,XAUUSD,2173.82
2025-02-07,XAUUSD,2161.49
2025-02-14,XAUUSD,2154.75
2025-02-21,XAUUSD,2167.02
2025-02-28,XAUUSD,2203.95
2025-03-07,XAUUSD,2225.3
2025-03-14,XAUUSD,2186.8
2025-03-21,XAUUSD,2195.42
2025-03-28,XAUUSD,2198.79
2025-04-04,XAUUSD,2187.27
2025-04-11,XAUUSD,2168.63
2025-04-18,XAUUSD,2228.09
2025-04-25,XAUUSD,2217.71
2025-05-02,XAUUSD,2192.23
2025-05-09,XAUUSD,2215.81
2025-05-16,XAUUSD,2222.81
2025-05-23,XAUUSD,2222.95
2025-05-30,XAUUSD,2251.67
2025-06-06,XAUUSD,2270.88
2025-06-13,XAUUSD,2285.94
2025-06-20,XAUUSD,2321.75
2025-06-27,XAUUSD,2334.41
2025-07-04,XAUUSD,2315.61
2025-07-11,XAUUSD,2305.8
2025-07-18,XAUUSD,2290.55
2025-07-25,XAUUSD,2300.51
2025-08-01,XAUUSD,2266.07
2025-08-08,XAUUSD,2206.5
2025-08-15,XAUUSD,2212.07
2025-08-22,XAUUSD,2170.37
2025-08-29,XAUUSD,2109.43
2025-09-05,XAUUSD,2123.78
2025-09-12,XAUUSD,2103.67
2025-09-19,XAUUSD,2121.85
2025-09-26,XAUUSD,2107.5
2025-10-03,XAUUSD,2074.56
2025-10-10,XAUUSD,2038.36
2025-10-17,XAUUSD,2025.06
2025-10-24,XAUUSD,2019.18
2025-10-31,XAUUSD,1996.67
2025-11-07,XAUUSD,1990.64
2025-11-14,XAUUSD,1947.16
2025-11-21,XAUUSD,1949.92
2025-11-28,XAUUSD,1899.8
2025-12-05,XAUUSD,1896.56
2025-12-12,XAUUSD,1918.67
2025-12-19,XAUUSD,1952.4
2025-12-26,XAUUSD,2004.95
2026-01-02,XAUUSD,1960.55
2026-01-09,XAUUSD,1985.22
2026-01-16,XAUUSD,2023.52
2026-01-23,XAUUSD,2055.71
2026-01-30,XAUUSD,2029.52
2026-02-06,XAUUSD,2044.49
2026-02-13,XAUUSD,2103.99
2026-02-20,XAUUSD,2059.26
2026-02-27,XAUUSD,2076.44
2026-03-06,XAUUSD,2113.58
2026-03-13,XAUUSD,2094.03
2026-03-20,XAUUSD,2114.86
2026-03-27,XAUUSD,2083.42
2026-04-03,XAUUSD,2060.54
2023-01-06,XAGUSD,21.49
2023-01-13,XAGUSD,21.65
2023-01-20,XAGUSD,21.62
2023-01-27,XAGUSD,22.27
2023-02-03,XAGUSD,21.68
2023-02-10,XAGUSD,21.63
2023-02-17,XAGUSD,22.28
2023-02-24,XAGUSD,22.69
2023-03-03,XAGUSD,21.82
2023-03-10,XAGUSD,22.29
2023-03-17,XAGUSD,22.01
2023-03-24,XAGUSD,22.29
2023-03-31,XAGUSD,22.53
2023-04-07,XAGUSD,23.39
2023-04-14,XAGUSD,23.5
2023-04-21,XAGUSD,22.23
2023-04-28,XAGUSD,21.35
2023-05-05,XAGUSD,21.85
2023-05-12,XAGUSD,21.71
2023-05-19,XAGUSD,22.49
2023-05-26,XAGUSD,22.71
2023-06-02,XAGUSD,22.23
2023-06-09,XAGUSD,22.98
2023-06-16,XAGUSD,22.46
2023-06-23,XAGUSD,21.11
2023-06-30,XAGUSD,22.45
2023-07-07,XAGUSD,21.2
2023-07-14,XAGUSD,21.64
2023-07-21,XAGUSD,22.28
2023-07-28,XAGUSD,22.41
2023-08-04,XAGUSD,21.31
2023-08-11,XAGUSD,21.99
2023-08-18,XAGUSD,21.07
2023-08-25,XAGUSD,20.26
2023-09-01,XAGUSD,20.07
2023-09-08,XAGUSD,20.57
2023-09-15,XAGUSD,20.79
2023-09-22,XAGUSD,21.32
2023-09-29,XAGUSD,21.07
2023-10-06,XAGUSD,20.99
2023-10-13,XAGUSD,20.31
2023-10-20,XAGUSD,20.15
2023-10-27,XAGUSD,20.54
2023-11-03,XAGUSD,20.38
2023-11-10,XAGUSD,20.7
2023-11-17,XAGUSD,20.38
2023-11-24,XAGUSD,20.05
2023-12-01,XAGUSD,20.1
2023-12-08,XAGUSD,20.01
2023-12-15,XAGUSD,20.4
2023-12-22,XAGUSD,20.54
2023-12-29,XAGUSD,21.64
2024-01-05,XAGUSD,21.53
2024-01-12,XAGUSD,21.42
2024-01-19,XAGUSD,20.78
2024-01-26,XAGUSD,20.83
2024-02-02,XAGUSD,21.28
2024-02-09,XAGUSD,20.84
2024-02-16,XAGUSD,20.84
2024-02-23,XAGUSD,21.32
2024-03-01,XAGUSD,21.27
2024-03-08,XAGUSD,20.98
2024-03-15,XAGUSD,21.62
2024-03-22,XAGUSD,21.71
2024-03-29,XAGUSD,22.01
2024-04-05,XAGUSD,22.81
2024-04-12,XAGUSD,23.63
2024-04-19,XAGUSD,23.42
2024-04-26,XAGUSD,23.09
2024-05-03,XAGUSD,23.32
2024-05-10,XAGUSD,23.26
2024-05-17,XAGUSD,21.97
2024-05-24,XAGUSD,22.84
2024-05-31,XAGUSD,22.89
2024-06-07,XAGUSD,23.43
2024-06-14,XAGUSD,22.64
2024-06-21,XAGUSD,23.55
2024-06-28,XAGUSD,23.17
2024-07-05,XAGUSD,23.13
2024-07-12,XAGUSD,22.19
2024-07-19,XAGUSD,22.11
2024-07-26,XAGUSD,21.99
2024-08-02,XAGUSD,21.9
2024-08-09,XAGUSD,22.23
2024-08-16,XAGUSD,22.3
2024-08-23,XAGUSD,22.98
2024-08-30,XAGUSD,22.7
2024-09-06,XAGUSD,22.05
2024-09-13,XAGUSD,22.07
2024-09-20,XAGUSD,22.52
2024-09-27,XAGUSD,23.4
2024-10-04,XAGUSD,24.0
2024-10-11,XAGUSD,22.77
2024-10-18,XAGUSD,23.06
2024-10-25,XAGUSD,24.1
2024-11-01,XAGUSD,24.19
2024-11-08,XAGUSD,23.85
2024-11-15,XAGUSD,24.1
2024-11-22,XAGUSD,23.78
2024-11-29,XAGUSD,24.27
2024-12-06,XAGUSD,24.3
2024-12-13,XAGUSD,25.35
2024-12-20,XAGUSD,25.77
2024-12-27,XAGUSD,25.24
2025-01-03,XAGUSD,25.74
2025-01-10,XAGUSD,26.5
2025-01-17,XAGUSD,26.09
2025-01-24,XAGUSD,25.8
2025-01-31,XAGUSD,24.05
2025-02-07,XAGUSD,24.74
2025-02-14,XAGUSD,24.34
2025-02-21,XAGUSD,22.83
2025-02-28,XAGUSD,21.65
2025-03-07,XAGUSD,21.54
2025-03-14,XAGUSD,22.06
2025-03-21,XAGUSD,22.03
2025-03-28,XAGUSD,22.38
2025-04-04,XAGUSD,21.67
2025-04-11,XAGUSD,20.83
2025-04-18,XAGUSD,21.42
2025-04-25,XAGUSD,21.77
2025-05-02,XAGUSD,21.78
2025-05-09,XAGUSD,22.65
2025-05-16,XAGUSD,22.04
2025-05-23,XAGUSD,21.79
2025-05-30,XAGUSD,22.5
2025-06-06,XAGUSD,23.77
2025-06-13,XAGUSD,23.81
2025-06-20,XAGUSD,25.05
2025-06-27,XAGUSD,24.63
2025-07-04,XAGUSD,24.91
2025-07-11,XAGUSD,24.82
2025-07-18,XAGUSD,23.68
2025-07-25,XAGUSD,23.89
2025-08-01,XAGUSD,24.6
2025-08-08,XAGUSD,24.53
2025-08-15,XAGUSD,24.51
2025-08-22,XAGUSD,25.57
2025-08-29,XAGUSD,24.65
2025-09-05,XAGUSD,23.58
2025-09-12,XAGUSD,23.15
2025-09-19,XAGUSD,22.36
2025-09-26,XAGUSD,23.29
2025-10-03,XAGUSD,23.54
2025-10-10,XAGUSD,22.97
2025-10-17,XAGUSD,22.58
2025-10-24,XAGUSD,24.55
2025-10-31,XAGUSD,24.14
2025-11-07,XAGUSD,23.62
2025-11-14,XAGUSD,23.88
2025-11-21,XAGUSD,24.37
2025-11-28,XAGUSD,24.57
2025-12-05,XAGUSD,23.93
2025-12-12,XAGUSD,23.14
2025-12-19,XAGUSD,23.59
2025-12-26,XAGUSD,23.58
2026-01-02,XAGUSD,22.46
2026-01-09,XAGUSD,23.28
2026-01-16,XAGUSD,23.86
2026-01-23,XAGUSD,23.72
2026-01-30,XAGUSD,23.57
2026-02-06,XAGUSD,23.77
2026-02-13,XAGUSD,23.32
2026-02-20,XAGUSD,22.41
2026-02-27,XAGUSD,22.66
2026-03-06,XAGUSD,21.71
2026-03-13,XAGUSD,22.0
2026-03-20,XAGUSD,21.08
2026-03-27,XAGUSD,21.05
2026-04-03,XAGUSD,21.0
