date,XAUUSD,XAGUSD,pos_XAUUSD,pos_XAGUSD,cash,equity,cum_ret
2023-09-15,1735.81,20.79,0.0,0.0,100000.0,100000.0,0.0
2023-09-22,1775.95,21.32,0.0,0.0,100000.0,100000.0,0.0
2023-09-29,1825.13,21.07,0.0,0.0,100000.0,100000.0,0.0
2023-10-06,1818.31,20.99,0.0,0.0,100000.0,100000.0,0.0
2023-10-13,1843.42,20.31,0.0,0.0,100000.0,100000.0,0.0
2023-10-20,1840.65,20.15,0.0,0.0,100000.0,100000.0,0.0
2023-10-27,1858.55,20.54,0.0,0.0,100000.0,100000.0,0.0
2023-11-03,1839.79,20.38,0.0,0.0,100000.0,100000.0,0.0
2023-11-10,1794.85,20.7,0.0,0.0,100000.0,100000.0,0.0
2023-11-17,1748.46,20.38,0.0,0.0,100000.0,100000.0,0.0
2023-11-24,1760.61,20.05,0.0,0.0,100000.0,100000.0,0.0
2023-12-01,1822.08,20.1,0.0,0.0,100000.0,100000.0,0.0
2023-12-08,1831.63,20.01,0.0,0.0,100000.0,100000.0,0.0
2023-12-15,1819.41,20.4,0.0,0.0,100000.0,100000.0,0.0
2023-12-22,1873.78,20.54,0.0,0.0,100000.0,100000.0,0.0
2023-12-29,1882.7,21.64,0.0,0.0,100000.0,100000.0,0.0
2024-01-05,1887.82,21.53,0.0,0.0,100000.0,100000.0,0.0
2024-01-12,1897.24,21.42,0.0,0.0,100000.0,100000.0,0.0
2024-01-19,1895.75,20.78,0.0,0.0,100000.0,100000.0,0.0
2024-01-26,1889.22,20.83,0.0,0.0,100000.0,100000.0,0.0
2024-02-02,1850.82,21.28,0.0,0.0,100000.0,100000.0,0.0
2024-02-09,1866.97,20.84,0.0,0.0,100000.0,100000.0,0.0
2024-02-16,1866.56,20.84,0.0,0.0,100000.0,100000.0,0.0
2024-02-23,1902.2,21.32,0.0,0.0,100000.0,100000.0,0.0
2024-03-01,1893.96,21.27,0.0,0.0,100000.0,100000.0,0.0
2024-03-08,1842.07,20.98,0.0,0.0,100000.0,100000.0,0.0
2024-03-15,1841.53,21.62,0.0,0.0,100000.0,100000.0,0.0
2024-03-22,1890.69,21.71,0.0,0.0,100000.0,100000.0,0.0
2024-03-29,1882.08,22.01,0.0,0.0,100000.0,100000.0,0.0
2024-04-05,1859.22,22.81,0.0,0.0,100000.0,100000.0,0.0
2024-04-12,1828.16,23.63,0.0,0.0,100000.0,100000.0,0.0
2024-04-19,1801.56,23.42,0.0,0.0,100000.0,100000.0,0.0
2024-04-26,1795.61,23.09,0.0,0.0,100000.0,100000.0,0.0
2024-05-03,1765.99,23.32,0.0,0.0,100000.0,100000.0,0.0
2024-05-10,1807.78,23.26,0.0,0.0,100000.0,100000.0,0.0
2024-05-17,1802.28,21.97,0.0,0.0,100000.0,100000.0,0.0
2024-05-24,1807.38,22.84,0.0,0.0,100000.0,100000.0,0.0
2024-05-31,1848.54,22.89,0.0,0.0,100000.0,100000.0,0.0
2024-06-07,1892.45,23.43,0.0,0.0,100000.0,100000.0,0.0
2024-06-14,1888.68,22.64,0.0,0.0,100000.0,100000.0,0.0
2024-06-21,1900.35,23.55,0.0,0.0,100000.0,100000.0,0.0
2024-06-28,1923.58,23.17,0.0,0.0,100000.0,100000.0,0.0
2024-07-05,1920.33,23.13,0.0,0.0,100000.0,100000.0,0.0
2024-07-12,1871.41,22.19,0.0,0.0,100000.0,100000.0,0.0
2024-07-19,1892.04,22.11,0.0,0.0,100000.0,100000.0,0.0
2024-07-26,1919.69,21.99,0.0,0.0,100000.0,100000.0,0.0
2024-08-02,1933.96,21.9,0.0,0.0,100000.0,100000.0,0.0
2024-08-09,1909.49,22.23,0.0,0.0,100000.0,100000.0,0.0
2024-08-16,1906.17,22.3,0.0,0.0,100000.0,100000.0,0.0
2024-08-23,1891.56,22.98,0.0,0.0,100000.0,100000.0,0.0
2024-08-30,1885.33,22.7,0.0,0.0,100000.0,100000.0,0.0
2024-09-06,1924.27,22.05,0.0,0.0,100000.0,100000.0,0.0
2024-09-13,1970.72,22.07,0.0,0.0,100000.0,100000.0,0.0
2024-09-20,1992.88,22.52,0.0,0.0,100000.0,100000.0,0.0
2024-09-27,2011.67,23.4,0.0,0.0,100000.0,100000.0,0.0
2024-10-04,2034.5,24.0,0.0,0.0,100000.0,100000.0,0.0
2024-10-11,2036.57,22.77,0.0,0.0,100000.0,100000.0,0.0
2024-10-18,2036.7,23.06,0.0,0.0,100000.0,100000.0,0.0
2024-10-25,2018.57,24.1,0.0,0.0,100000.0,100000.0,0.0
2024-11-01,2019.3,24.19,0.0,0.0,100000.0,100000.0,0.0
2024-11-08,2090.17,23.85,0.0,0.0,100000.0,100000.0,0.0
2024-11-15,2119.93,24.1,0.0,0.0,100000.0,100000.0,0.0
2024-11-22,2111.59,23.78,0.0,0.0,100000.0,100000.0,0.0
2024-11-29,2099.18,24.27,0.0,0.0,100000.0,100000.0,0.0
2024-12-06,2074.48,24.3,0.0,0.0,100000.0,100000.0,0.0
2024-12-13,2088.62,25.35,0.0,0.0,100000.0,100000.0,0.0
2024-12-20,2103.39,25.77,0.0,0.0,100000.0,100000.0,0.0
2024-12-27,2060.38,25.24,0.0,0.0,100000.0,100000.0,0.0
2025-01-03,2077.89,25.74,0.0,0.0,100000.0,100000.0,0.0
2025-01-10,2062.63,26.5,0.0,0.0,100000.0,100000.0,0.0
2025-01-17,2109.25,26.09,0.0,0.0,100000.0,100000.0,0.0
2025-01-24,2116.74,25.8,0.0,0.0,100000.0,100000.0,0.0
2025-01-31,2173.82,24.05,0.0,0.0,100000.0,100000.0,0.0
2025-02-07,2161.49,24.74,0.0,0.0,100000.0,100000.0,0.0
2025-02-14,2154.75,24.34,0.0,0.0,100000.0,100000.0,0.0
2025-02-21,2167.02,22.83,0.0,0.0,100000.0,100000.0,0.0
2025-02-28,2203.95,21.65,0.0,0.0,100000.0,100000.0,0.0
2025-03-07,2225.3,21.54,0.0,0.0,100000.0,100000.0,0.0
2025-03-14,2186.8,22.06,0.0,0.0,100000.0,100000.0,0.0
2025-03-21,2195.42,22.03,0.0,0.0,100000.0,100000.0,0.0
2025-03-28,2198.79,22.38,0.0,0.0,100000.0,100000.0,0.0
2025-04-04,2187.27,21.67,0.0,0.0,100000.0,100000.0,0.0
2025-04-11,2168.63,20.83,0.0,0.0,100000.0,100000.0,0.0
2025-04-18,2228.09,21.42,0.0,0.0,100000.0,100000.0,0.0
2025-04-25,2217.71,21.77,0.0,0.0,100000.0,100000.0,0.0
2025-05-02,2192.23,21.78,0.0,0.0,100000.0,100000.0,0.0
2025-05-09,2215.81,22.65,0.0,0.0,100000.0,100000.0,0.0
2025-05-16,2222.81,22.04,0.0,0.0,100000.0,100000.0,0.0
2025-05-23,2222.95,21.79,0.0,0.0,100000.0,100000.0,0.0
2025-05-30,2251.67,22.5,0.0,0.0,100000.0,100000.0,0.0
2025-06-06,2270.88,23.77,0.0,0.0,100000.0,100000.0,0.0
2025-06-13,2285.94,23.81,0.0,0.0,100000.0,100000.0,0.0
2025-06-20,2321.75,25.05,0.0,0.0,100000.0,100000.0,0.0
2025-06-27,2334.41,24.63,0.0,0.0,100000.0,100000.0,0.0
2025-07-04,2315.61,24.91,0.0,0.0,100000.0,100000.0,0.0
2025-07-11,2305.8,24.82,0.0,0.0,100000.0,100000.0,0.0
2025-07-18,2290.55,23.68,0.0,0.0,100000.0,100000.0,0.0
2025-07-25,2300.51,23.89,0.0,0.0,100000.0,100000.0,0.0
2025-08-01,2266.07,24.6,0.0,0.0,100000.0,100000.0,0.0
2025-08-08,2206.5,24.53,0.0,0.0,100000.0,100000.0,0.0
2025-08-15,2212.07,24.51,0.0,0.0,100000.0,100000.0,0.0
2025-08-22,2170.37,25.57,0.0,0.0,100000.0,100000.0,0.0
2025-08-29,2109.43,24.65,0.0,0.0,100000.0,100000.0,0.0
2025-09-05,2123.78,23.58,0.0,0.0,100000.0,100000.0,0.0
2025-09-12,2103.67,23.15,0.0,0.0,100000.0,100000.0,0.0
2025-09-19,2121.85,22.36,0.0,0.0,100000.0,100000.0,0.0
2025-09-26,2107.5,23.29,0.0,0.0,100000.0,100000.0,0.0
2025-10-03,2074.56,23.54,5.0,0.0,86950.0,97322.8,-0.026772000000000018
2025-10-10,2038.36,22.97,5.0,0.0,86950.0,97141.8,-0.028581999999999996
2025-10-17,2025.06,22.58,5.0,200.0,80710.0,95351.3,-0.046487000000000056
2025-10-24,2019.18,24.55,5.0,200.0,80710.0,95715.9,-0.04284100000000013
2025-10-31,1996.67,24.14,5.0,200.0,80710.0,95521.35,-0.04478650000000006
2025-11-07,1990.64,23.62,5.0,200.0,80710.0,95387.2,-0.04612800000000017
2025-11-14,1947.16,23.88,3.0,200.0,86066.0,96683.48,-0.03316520000000012
2025-11-21,1949.92,24.37,3.0,200.0,86066.0,96789.76,-0.0321024000000002
2025-11-28,1899.8,24.57,3.0,200.0,86066.0,96679.4,-0.03320600000000029
2025-12-05,1896.56,23.93,3.0,200.0,86066.0,96541.68,-0.03458320000000026
2025-12-12,1918.67,23.14,3.0,200.0,86066.0,96450.01,-0.03549990000000025
2025-12-19,1952.4,23.59,3.0,200.0,86066.0,96641.2,-0.03358800000000017
2025-12-26,2004.95,23.58,3.0,200.0,86066.0,96796.85,-0.0320315000000001
2026-01-02,1960.55,22.46,3.0,200.0,86066.0,96439.65,-0.03560350000000012
2026-01-09,1985.22,23.28,3.0,200.0,86066.0,96677.66,-0.033223400000000014
2026-01-16,2023.52,23.86,3.0,200.0,86066.0,96908.56,-0.03091440000000001
2026-01-23,2055.71,23.72,3.0,200.0,86066.0,96977.13,-0.030228699999999886
2026-01-30,2029.52,23.57,3.0,200.0,86066.0,96868.56,-0.031314399999999964
2026-02-06,2044.49,23.77,3.0,200.0,86066.0,96953.47,-0.030465299999999917
2026-02-13,2103.99,23.32,3.0,200.0,86066.0,97041.97,-0.029580299999999893
2026-02-20,2059.26,22.41,3.0,200.0,86066.0,96725.78,-0.032742199999999944
2026-02-27,2076.44,22.66,3.0,200.0,86066.0,96827.32,-0.03172679999999983
2026-03-06,2113.58,21.71,3.0,200.0,86066.0,96748.74,-0.03251259999999989
2026-03-13,2094.03,22.0,3.0,200.0,86066.0,96748.09,-0.03251910000000002
2026-03-20,2114.86,21.08,3.0,200.0,86066.0,96626.58,-0.03373420000000005
2026-03-27,2083.42,21.05,3.0,200.0,86066.0,96526.26,-0.03473740000000014
2026-04-03,2060.54,21.0,3.0,200.0,86066.0,96447.62,-0.035523800000000105
